id;siren;nic;l1_normalisee;l2_normalisee;l3_normalisee;l4_normalisee;l5_normalisee;l6_normalisee;l7_normalisee;numvoie;typvoie;libvoie;codpos;libcom;apet700;libtefet;adr_mail
7765355;672000346;00060;"SOCIETE M A TAXIS";;;"68 BOULEVARD DE PORT ROYAL";;"75005 PARIS";FRANCE;68;BD;"DE PORT ROYAL";75005;"PARIS 5";4932Z;"3 à 5 salariés";
7765421;672006475;00038;"DBS CARROSSERIE";;;"18 RUE THIERS";;"78800 HOUILLES";FRANCE;18;RUE;THIERS;78800;HOUILLES;4511Z;"6 à 9 salariés";
7768834;682038120;00015;SYLENE;"BOUTON ST PIERRE";;"5 RUE DE STEINKERQUE";;"75018 PARIS";FRANCE;5;RUE;"DE STEINKERQUE";75018;"PARIS 18";4751Z;"0 salarié";
7772430;692049547;00031;"CABINET LACHEZE ET ASSOCIES";;;"1 AVENUE NIEL";;"75017 PARIS";FRANCE;1;AV;NIEL;75017;"PARIS 17";6920Z;"10 à 19 salariés";
7775220;702008046;00063;MONDAIN;"SERRURERIE MONDAIN";;"16 RUE DE MOSCOU";;"75008 PARIS";FRANCE;16;RUE;"DE MOSCOU";75008;"PARIS 8";4332B;"6 à 9 salariés";
7776023;702037649;00044;"CENT ETUD TRAITEMENT INFORMATION";;;"5 RUE DE PONTARLIER";;"25600 SOCHAUX";FRANCE;5;RUE;"DE PONTARLIER";25600;SOCHAUX;6311Z;"3 à 5 salariés";
7776024;702037649;00051;"CENT ETUD TRAITEMENT INFORMATION";;;"58 AVENUE DE WAGRAM";;"75017 PARIS";FRANCE;58;AV;"DE WAGRAM";75017;"PARIS 17";6311Z;"0 salarié";
7777936;709700389;00022;"FRANCE SAS FLUX";;;"117 ROUTE DE MAISONS";;"78400 CHATOU";FRANCE;117;RTE;"DE MAISONS";78400;CHATOU;4669B;"10 à 19 salariés";
7778897;712008648;00040;ACIMEX;;"ZONE ARTISANALE LES AUBUIS";"26 RUE PAUL LANGEVIN";;"37550 ST AVERTIN";FRANCE;26;RUE;"PAUL LANGEVIN";37550;"SAINT AVERTIN";2822Z;"10 à 19 salariés";
7779278;712030428;00015;"LA NOUVELLE MARINARA";;;"46 RUE DAUPHINE";;"75006 PARIS";FRANCE;46;RUE;DAUPHINE;75006;"PARIS 6";5610A;"6 à 9 salariés";
7785143;722041779;00041;"SOCIETE DES MEUBLES DURA";;;"5 AVENUE DES CHASSEURS";;"75017 PARIS";FRANCE;5;AV;"DES CHASSEURS";75017;"PARIS 17";4759A;"0 salarié";
7787986;729803452;00014;"SOC TRAVAUX AMENAGEMENT CONSTRUCTION";;;"37 RUE DU MONTOIR";;"78500 SARTROUVILLE";FRANCE;37;RUE;"DU MONTOIR";78500;SARTROUVILLE;4120A;"3 à 5 salariés";
7788009;729805416;00058;"AUTOMOTOR FRANCE";;;"2 RUE DE BUCHELAY";;"78200 MANTES LA JOLIE";FRANCE;2;RUE;"DE BUCHELAY";78200;"MANTES LA JOLIE";4531Z;"10 à 19 salariés";
7788010;729805416;00066;"AUTOMOTOR FRANCE";"LA DEFENSE 11";"BATIMENT E";"14 TERRASSE BELLINI";;"92800 PUTEAUX";FRANCE;14;;"TERRASSE BELLINI";92800;PUTEAUX;4531Z;"20 à 49 salariés";
7795917;749864781;00010;"SUSHI YU";;;"145 RUE DU MARECHAL LECLERC";;"94410 ST MAURICE";FRANCE;145;RUE;"DU MARECHAL LECLERC";94410;"SAINT MAURICE";5610A;"3 à 5 salariés";
7808069;750055956;00023;"MONSIEUR LOIC GUITTON";;;"1 RUE CARNOT";;"42120 LE COTEAU";FRANCE;1;RUE;CARNOT;42120;"LE COTEAU";6910Z;"0 salarié";
7833086;750433047;00016;"EASY SCHOP EURL";;;"27 AVENUE THOMAS WOODROW WILSON";;"90000 BELFORT";FRANCE;27;AV;WILSON;90000;BELFORT;5630Z;"0 salarié";
7833271;750435034;00012;"MONSIEUR LAURENT BROUZET";;;"3 BOULEVARD MARCELLIN BERTHELOT";;"13200 ARLES";FRANCE;3;BD;"MARCELLIN BERTHELOT";13200;ARLES;7420Z;"0 salarié";
7843517;750592719;00017;"SEBASTIEN ROUSSEAU";;;"8 RUE SALAZARD";;"33560 CARBON BLANC";FRANCE;8;RUE;SALAZARD;33560;"CARBON BLANC";4334Z;"3 à 5 salariés";
7844210;750604993;00014;"CULTURELLE POUR LA JEUNESSE";;;"8 RUE SAINT MARC";;"75002 PARIS";FRANCE;8;RUE;"SAINT MARC";75002;"PARIS 2";9499Z;"0 salarié";
7853829;750753386;00010;"AUTO ECOLE DU LYS";;;"831 AVENUE DU COLONEL FABIEN";;"77190 DAMMARIE LES LYS";FRANCE;831;AV;"DU COLONEL FABIEN";77190;"DAMMARIE LES LYS";8553Z;"3 à 5 salariés";
7857737;750814097;00010;"F P C";;;"74 RUE ARISTIDE BRIAND";;"78500 SARTROUVILLE";FRANCE;74;RUE;"ARISTIDE BRIAND";78500;SARTROUVILLE;4322A;"1 ou 2 salariés";
